STR_DISP_SRVSIDE_CIVIL,"Civilians:","Civilisté:","Zivilisten:","Cywile:","Гражданские:","Civils :","Civiles:","Civili:"
STR_DISP_MPROLE_ROLES,"Roles:","Role:","Rollen:","Role:","Роли:","Rôles :","Funciones:","Ruoli:"
STR_DISP_MPROLE_SIDES,"Sides","Strany","Seiten","Strony","Стороны","Camps","Bandos","Fazioni"
STR_DISP_MPSETUP_SIDE,"Side:","Strana:","Seite:","Strona:","Сторона","Camp :","Bando:","Fazione:"
STR_DISP_MPSETUP_TITLE,"Multiplayer Setup","Nastavení hry pro více hráčů","Mehrspieler-Setup","Ustawienia gry wieloosobowej","Установки сетевой игры","Config. multijoueur","Config Multijugador","Impostazioni multigiocatore"
STR_DISP_SERVER_READY,"Start game","Spustit hru","Spiel beginnen","Zacznij grę","Начать игру","Lancer partie","Iniciar partida","Inizia partita"
STR_DISP_CLIENT_WAIT_TEXT,"Game in progress, wait please","Hra probíhá, čekejte, prosím","Spiel läuft, bitte warten","Gra w toku, proszę czekać","Игра запущена, подождите.","Partie en cours, merci de patienter.","Partida en curso, espera por favor","Partita in corso, attendere"
STR_MP_CDKEY_IN_USE,"CD Key in use","CD klíč někdo používá","CD-Key in Verwendung","Klucz CD jest już w użyciu","Ключ уже используется","Cle de CD utilisée","Clave de CD en uso","Codice di accesso in uso"
STR_MP_BAD_CDKEY,"Bad CD Key","Špatný CD klíč","Falscher CD-Key","Zły klucz CD","Неверный ключ","Clé de CD incorrecte","Clave de CD incorrecta","Codice di accesso non valido"
STR_DISP_MP_BAN,"Ban","Zákaz","Bannen","Zablokuj","Забанить","Bannir","Denegar","Bandisci"
STR_DISP_MP_BANDWIDTH,"Bandwidth:","Šířka pásma:","Bandbreite:","Łącze:","Пропускная способность:","Bande passante :","Ancho de banda:","Larghezza di banda:"
STR_DISP_MP_DESYNC,"Desync:","Desync:","Desync:","Desynchronizacja:","Десинхронизация:","Désync. :","Desinc:","Desincr.:"
STR_DISP_MP_KICKOFF,"Kick Off","Vyloučit","Rauswerfen","Wyrzuć","Выкинуть","Éjecter","Echar","Caccia"
STR_DISP_MP_PING,"Ping:","Ping:","Ping:","Ping:","Пинг:","Ping :","Ping:","Ping:"
STR_DISP_MP_PLAYERS,"Players:","Hráči:","Spieler:","Gracze:","Игроки:","Joueurs :","Jugadores:","Giocatori:"
STR_DISP_MP_PLAYERS_TITLE,"Players","Hráči","Spieler","Gracze","Игроки","Joueurs","Jugadores","Giocatori"
STR_DISP_MP_PL,"Player:","Hráč:","Spieler:","Gracz:","Игрок:","Joueur :","Jugador:","Giocatore:"
STR_DISP_MP_PL_NAME,"Name:","Jméno:","Name:","Imię:","Имя:","Nom :","Nombre:","Nome:"
STR_DISP_MP_PL_MAIL,"E-mail:","E-mail:","E-Mail:","E-mail:","E-mail:","E-mail :","e-mail:","E-mail:"
STR_DISP_MP_PL_ICQ,"IM:","IM:","IM:","ICQ:","ICQ:","IM :","IM:","ICQ:"
STR_DISP_MP_PL_REMARK,"Remark:","Poznámka:","Anmerkung:","Symbol:","Замечания:","Remarque :","Comentario:","Commento:"
STR_DISP_MP_PL_TIME,"Time:","Čas:","Zeit:","Czas:","Время:","Temps :","Tiempo:","Tempo:"
STR_DISP_MP_SIGN_OUT,"Sign Out","Odhlásit","Abmelden","Wyjdź","Отключиться","Se déconnecter","Salir","Esci"
STR_DISP_MP_SQ,"Squad:","Jednotka:","Trupp:","Drużyna:","Отделение:","Groupe :","Pelotón:","Squadra:"
STR_DISP_MP_SQ_NAME,"Name:","Název:","Name:","Nazwa:","Имя:","Nom :","Nombre:","Nome:"
STR_DISP_MP_SQ_ID,"Id:","Id:","ID:","Pseudonim:","ID:","Id :","ID:","Id:"
STR_DISP_MP_SQ_MAIL,"E-mail:","E-mail:","E-Mail:","E-mail:","E-mail:","E-mail :","e-mail:","E-mail:"
STR_DISP_MP_SQ_WEB,"Web:","Web:","Internet:","Strona:","Сайт:","Web :","Web:","Rete:"
STR_DISP_MP_SQ_PICTURE,"Picture:","Obrázek:","Bild:","Obrazek:","Картинка:","Image :","Imagen:","Fotografia:"
STR_DISP_MP_SQ_TITLE,"Title:","Titulek:","Titel:","Tytuł:","Название:","Titre :","Título:","Titolo:"
STR_LANGUAGE_ANY,"Any","Jakýkoli","Alle","Dowolny","Любые","Quelconque","Cualquiera","Qualsiasi"
STR_DIFFICULTY_ANY,"Any","Jakýkoli","Alle","Dowolny","Любые","Quelconque","Cualquiera","Qualsiasi"
STR_LANGUAGE_ENGLISH,"English","Anglický","Englisch","Polski","Английский","Anglais","Inglés","Inglese"
STR_LANGUAGE_FRENCH,"French","Francouzský","Französisch","Francuski","Французский","Français","Francés","Francese"
STR_LANGUAGE_ITALIAN,"Italian","Italský","Italienisch","Włoski","Итальянский","Italien","Italiano","Italiano"
STR_LANGUAGE_GERMAN,"German","Německý","Deutsch","Niemiecki","Немецкий","Allemand","Alemán","Tedesco"
STR_DISP_MPW_TITLE,"Mission Wizard","Průvodce misí","Einsatz-Assistent","Asystent misji","Мастер заданий","Assistant de mission","Asistente de la misión","Assistente di missione"
STR_DISP_MPW_TEMPLATE,"Template:","Šablona:","Vorlage:","Szablony:","Шаблон:","Modèle :","Plantilla:","Modello:"
STR_DISP_MPW_DESCRIPTION,"Description:","Popis:","Beschreibung:","Opis:","Описание:","Description :","Descripción:","Descrizione:"
STR_DISP_MPW_NAME,"Mission name:","Název mise:","Einsatztitel:","Nazwa misji:","Название задания:","Nom mission :","Nombre de la misión:","Nome missione"
STR_DISP_MPW_FINISH,"Finish","Dokončit","Ende","Koniec","Закончить","Terminer","Terminar","Termina"
STR_DISP_BRIEF_TITLE,"Mission Briefing","Hlášení","Einsatzbesprechung","Odprawa misji","Инструктаж","Briefing de mission","Informe de la misión","Istruzioni missione"
IDS_LOADING,"Receiving mission status","Aktualizuji stav mise","Empfange Einsatzstatus","Pobieranie stanu misji","Загрузка статуса задания","Réception situation mission","Recibiendo estado de la misión","Ricezione stato missione in corso"
STR_DISP_TURN_TITLE,"Turn","Otočit","Runde","Tura","Ход","Tour","Turno","Turno"
STR_DISP_WIN_TITLE,"TESTING SCREEN-PRESS CONTINUE TO CONTINUE","TESTOVÁNÍ ZOBRAZENÍ – STISKNĚTE TLAČÍTKO POKRAČOVAT","TESTBILDSCHIRM - DRÜCKEN SIE ""WEITER"", UM FORTZUFAHREN","TEST EKRANU - NACIŚNIJ DALEJ ABY KONTYNUOWAĆ","ПРОВЕРОЧНЫЙ ЭКРАН, НАЖМИТЕ ""ПРОДОЛЖИТЬ""","TEST ÉCRAN - APPUYER SUR CONTINUER POUR CONTINUER","COMPROBANDO PANTALLA-PULSA CONTINUAR PARA CONTINUAR","TEST SCHERMO IN CORSO - PREMI CONTINUA PER CONTINUARE"
STR_DISP_LOSS_TITLE,"Continue","Pokračovat","Weiter","DALEJ","Продолжить","Continuer","Continuar","Continua"
STR_DISP_STAT_KILLED,"Destroyed","Zničeno","Zerstört","ZNISZCZONYCH","Уничтожен","Détruit","Destruido","Distrutto"
STR_DISP_STAT_BY_YOU,"By you","Vámi","durch Sie","PRZEZ CIEBIE","Вами","Par vous","Por ti","Da te"
STR_DISP_STAT_BY_GRP,"By your group","Vaší skupinou","durch Ihre Gruppe","PRZEZ TWOJĄ GRUPĘ","Вашей группой","Par votre groupement","Por tu grupo","Dal tuo gruppo"
STR_DISP_STAT_TOTAL,"Total","Celkem","Gesamt","RAZEM","Итого","Total","Total","Totale"
STR_DISP_BRIEFING,"Briefing","Hlášení","Besprechung","Odprawa","Инструктаж","Briefing","Informe","Istruzioni"
STR_DISP_DEBRIEFING,"Debriefing","Hlášení","Nachbesprechung","Odprawa po misji","Разбор","Débriefing","Interrogatorio","Rapporto fine missione"
STR_DISP_DEBRIEFING_RESTART,"Restart","Restartovat","Neu beginnen","Od początku","Заново","Relancer","Reiniciar","Ricomincia"
STR_DISP_KILL_TITLE,"You are killed","Byl jste zabit","Sie wurden getötet","ZGINĄŁEŚ","ВЫ ПОГИБЛИ","Vous êtes mort","Te han matado","Sei stato ucciso"
STR_DISP_KILL_RETRY,"Retry","Opakovat","Neuer Versuch","Ponownie","Заново","Réessayer","Reintentar","Riprova"
STR_DISP_KILL_CONTINUE,"Continue","Pokračovat","Weiter","Kontynuuj","Выход","Continuer","Continuar","Continua"
STR_DISP_MISSION_EDITOR,"Mission Editor","Editor Misí","Einsatzeditor","Edytor","Редактор заданий","Éditeur de mission","Editor de misiones","Editor missione"
STR_DISP_SELECT_ISLAND,"Select Island","Vybrat ostrov","Insel auswählen","Wybierz wyspę","Выберите остров","Choix d'île","Seleccionar isla","Seleziona isola"
STR_DISP_ARCMAP_INTEL,"Intel","Intel","Aufklärung","Wywiad","Разведка","Rens.","Intel","Intelligence"
STR_DISP_ARCMAP_LOAD,"Load","Načíst","Laden","Wczytaj","Загрузить","Charger","Cargar","Carica"
STR_DISP_ARCMAP_MERGE,"Merge","Připojit","Zusammenführen","Połącz","Объединить","Fusionner","Fusionar","Unisci"
STR_DISP_ARCMAP_SAVE,"Save","Uložit","Speichern","Zapisz","Сохранить","Sauvegarder","Guardar","Salva"
STR_DISP_ARCMAP_CLEAR,"Clear","Smazat","Zurücksetzen","Wyczyść","Очистить","Effacer","Borrar","Cancella"
STR_DISP_ARCMAP_ADD_SECTION,"Add cutscene","Přidat scénu","Cutscene einfügen","Dodaj film","Добавить ролик","Ajouter cinématique","Añadir escena","Aggiungi filmato"
STR_DISP_ARCMAP_PREVIEW,"Preview","Náhled","Vorschau","Podgląd","Предпросмотр","Prévisualiser","Vista previa","Anteprima"
STR_DISP_ARCMAP_CONTINUE,"Continue","Pokračovat","Weiter","Dalej","Продолжить","Continuer","Continuar","Continua"
STR_DISP_ARCMAP_UNITS,"Units (F1)","Jednotky (F1)","Einheiten (F1)","Jednostki (F1)","Войска (F1)","Unités (F1)","Unidades (F1)","Unità (F1)"
STR_DISP_ARCMAP_GROUPS,"Groups (F2)","Skupiny (F2)","Gruppen (F2)","Grupy (F2)","Группа (F2)","Groupements (F2)","Grupos (F2)","Gruppi (F2)"
STR_DISP_ARCMAP_SENSORS,"Triggers (F3)","Senzory (F3)","Auslöser (F3)","Wyzwalacze (F3)","Триггеры (F3)","Déclencheurs (F3)","Activadores (F3)","Attivatori (F3)"
STR_DISP_ARCMAP_WAYPOINTS,"Waypoints (F4)","Body trasy (F4)","Wegpunkte (F4)","Punkty nawig. (F4)","Марш. точки (F4)","Points passage (F4)","Puntos referencia (F4)","Punti di passaggio (F4)"
STR_DISP_ARCMAP_SYNCHRONIZE,"Synchronize (F5)","Synchronizace (F5)","Synchronisieren (F5)","Synchroniz. (F5)","Синхрониз. (F5)","Synchronisation (F5)","Sincronizar (F5)","Sincronizzazione (F5)"
STR_DISP_ARCMAP_MARKERS,"Markers (F6)","Značky (F6)","Markierungen (F6)","Markery (F6)","Маркеры (F6)","Marqueurs (F6)","Marcadores (F6)","Segnalatori (F6)"
STR_DISP_ARCMAP_EXIT,"Exit","Konec","Beenden","Wyjście","Выход","Quitter","Salir","Esci"
STR_DISP_ARCUNIT_DESC,"Description:","Popis:","Beschreibung:","Opis:","Описание:","Description :","Descripción:","Descrizione:"
STR_DISP_ARCUNIT_SIDE,"Side:","Strana:","Seite:","Strona:","Сторона:","Camp :","Bando:","Fazione:"
STR_DISP_ARCUNIT_CLASS,"Class:","Třída:","Klasse:","Klasa:","Класс:","Catégorie :","Clase:","Classe:"
STR_DISP_ARCUNIT_VEHICLE,"Unit:","Jednotka:","Einheit:","Jednostka:","Отряд:","Unité :","Unidad:","Unità:"
STR_DISP_ARCUNIT_RANK,"Rank:","Hodnost:","Dienstgrad:","Stopień:","Ранг:","Grade :","Rango:","Rango:"
STR_DISP_ARCUNIT_AZIMUT,"Azimut:","Azimut:","Azimut","Azymut:","Азимут:","Azimut :","Azimut:","Azimut:"
STR_DISP_ARCUNIT_CTRL,"Control:","Ovládání:","Kontrolle:","Kontrola:","Контроль:","Contrôle :","Control:","Controllo:"
STR_DISP_ARCUNIT_HEALTH,"Health/armor","Zdraví/štít","Gesundh./Panz.:","Zdrowie/pancerz","Здоровье/броня","Santé/blindage","Salud/blindaje","Salute/blindatura"
STR_DISP_ARCUNIT_FUEL,"Fuel","Palivo","Treibstoff:","Paliwo","Горючее","Carburant","Combustible","Carburante"
STR_DISP_ARCUNIT_AMMO,"Ammunition","Munice","Munition:","Amunicja","Боеприпасы","Munitions","Munición","Munizioni"
STR_DISP_ARCUNIT_SPECIAL,"Special:","Speciální:","Speziell:","Specjalne:","Особенности:","Spécial :","Especial:","Speciale:"
STR_DISP_ARCUNIT_AGE,"Info age:","Stáří informace:","Info-Alter:","Stare informacje:","Время:","Âge infos :","Info edad:","Informazioni età:"
STR_DISP_ARCUNIT_PLACE,"Placement radius:","Rádius umístění:","Radius der Platzierung:","Promień rozmieszczenia:","Радиус размещения:","Rayon placement :","Radio de colocación:","Raggio di collocamento:"
STR_DISP_ARCUNIT_PRESENCE,"Probability of presence:","Pravděpodobnost přítomnosti:","Anwesenheit (Wahrscheinlichkeit):","Prawdopodobieństwo obecności:","Вероятность присутствия:","Probabilité présence :","Probabilidad de presencia:","Probabilità di presenza:"
STR_DISP_ARCUNIT_PRESENCE_COND,"Condition of presence:","Podmínka přítomnosti:","Anwesenheit (Bedingung):","Warunek obecności:","Условия присутствия:","Condition présence :","Condición de presencia:","Condizione di presenza:"
STR_DISP_ARCUNIT_TEXT,"Name:","Název:","Name:","Nazwa:","Название:","Nom :","Nombre:","Nome:"
STR_DISP_ARCUNIT_LOCK,"Vehicle lock:","Zámek vozidla:","Fahrzeugstatus:","Blokada pojazdu:","Доступ:","Verr. véhicule :","Bloqueovehículo:","Serratura veicolo:"
STR_DISP_ARCUNIT_INIT,"Initialization:","Inicializace:","Initialisierung:","Uruchamianie:","Инициализация:","Initialisation :","Iniciación:","Inizializzazione:"
STR_DISP_ARCUNIT_SKILL,"Skill:","Dovednost:","Fähigkeiten:","Umiejętności:","Уровень:","Compétence :","Habilidad:","Abilità:"
STR_DISP_ARCGRP_TITLE,"Insert group","Vložit skupinu","Gruppe einfügen","Wstaw grupę","Добавить группу","Insertion groupement","Insertar grupo","Inserisci gruppo"
STR_DISP_ARCGRP_SIDE,"Side:","Strana:","Seite:","Strona:","Сторона:","Camp :","Bando:","Fazione:"
STR_DISP_ARCGRP_TYPE,"Type:","Typ:","Typ:","Typ:","Тип:","Type :","Tipo:","Tipo:"
STR_DISP_ARCGRP_NAME,"Name:","Název:","Name:","Nazwa:","Название:","Nom :","Nombre:","Nome:"
STR_DISP_ARCWP_TYPE,"Select type:","Vybrat typ:","Typ auswählen:","Wybierz typ:","Выбрать тип:","Choix type :","Seleccionar tipo:","Seleziona tipo:"
STR_DISP_ARCWP_SEQ,"Waypoint order:","Pořadí bodů trasy:","Wegpunktfolge:","Kolejność punktów nawigacyjnych:","Порядок маршрутных точек:","Ordre pts passage :","Orden punto referencia:","Ordine punti di passaggio:"
STR_DISP_ARCWP_DESC,"Description:","Popis:","Beschreibung:","Opis:","Описание:","Description :","Descripción:","Descrizione:"
STR_DISP_ARCWP_SEMAPHORE,"Combat mode:","Bojový režim:","Kampfmodus:","Tryb walki:","Режим боя:","Mode de combat :","Modo combate:","Modalità di combattimento:"
STR_DISP_ARCWP_FORM,"Formation:","Formace:","Formation:","Szyk:","Построение:","Formation :","Formación:","Formazione:"
STR_DISP_ARCWP_SPEED,"Speed:","Rychlost:","Geschw.:","Szybkość:","Скорость:","Vitesse :","Velocidad:","Velocità:"
STR_DISP_ARCWP_COMBAT,"Behaviour:","Chování:","Verhalten:","Zachowanie:","Поведение:","Comportement :","Comportamiento:","Comportamento:"
STR_DISP_ARCWP_PLACE,"Placement radius:","Rádius umístění:","Platzierungradius:","Promień rozmieszczenia:","Радиус размещения:","Rayon placement :","Radio de colocación:","Raggio di collocamento:"
STR_DISP_ARCWP_EFFECTS,"Effects","Efekty","Effekte","Efekty","Эффекты","Effets","Efectos","Effetti:"
STR_DISP_ARCWP_TIMEOUT,"Timeout","Limit","Timeout","Koniec czasu","Перерыв","Dépass. délai","Tiempo agotado","Tempo scaduto"
STR_DISP_ARCWP_TIMEOUT_MIN,"Min:","Min:","Mindestens","Min:","Мин:","Min. :","Mín:","Min.:"
STR_DISP_ARCWP_TIMEOUT_MAX,"Max:","Max:","Höchstens","Maks:","Макс:","Max. :","Máx:","Max:"
STR_DISP_ARCWP_TIMEOUT_MID,"Mid:","Stř:","Mittelwert:","Śred:","Сред:","Moy. :","Med:","Med.:"
STR_DISP_ARCWP_HOUSEPOS,"Position in house:","Pozice v domě:","Position im Haus:","Pozycja w domu:","Позиция в доме:","Position dans maison :","Posición en casa:","Posizione in casa:"
STR_DISP_ARCWP_EXPACTIV,"On Act.:","Při aktivaci:","Bei Aktivierung:","Przy uruchamianiu:","При активации:","Sur act. :","Al Act.:","Su att.:"
STR_DISP_ARCWP_EXPCOND,"Condition:","Podmínka:","Bedingung:","Warunek:","Условие:","Condition :","Condición:","Condizione:"
STR_DISP_ARCWP_SHOW_NEVER,"Never show","Neukázat nikdy","Nie anzeigen","Nigdy nie pokazuj","Никогда не показ.","Jamais visible","No mostrar nunca","Non visualizzare mai"
STR_DISP_ARCWP_SHOW_EASY,"Show in cadet mode","Ukázat v režimu kadeta","In Kadettmodus anzeigen","Pokazuj w trybie kadeta","Показ. в реж. новичка","Visible en mode Aspirant","Mostrar en modo cadete","Visualizza in modalità Cadetto"
STR_DISP_ARCWP_SHOW_ALWAYS,"Always show","Ukázat vždy","Immer anzeigen","Zawsze pokazuj","Всегда показывать","Toujours visible","Mostrar siempre","Visualizza sempre"
STR_DISP_ARCWP_SCRIPT,"Script:","Skript:","Skript:","Skrypt:","Скрипт:","Script :","Guión:","Script:"
STR_DISP_ARCEFF_TITLE,"Edit effects","Upravit efekty","Effekte bearbeiten","Edycja efektów","Редактировать эффекты","Modif. effets","Editar efectos","Modifica effetti"
STR_DISP_ARCEFF_CAMTYPE,"Effect:","Efekt:","Effekt:","Efekt:","Эффект:","Effet :","Efecto:","Effetto:"
STR_DISP_ARCEFF_CAMPOS,"Position:","Pozice:","Position:","Pozycja:","Позиция:","Position :","Posición:","Posizione:"
STR_DISP_ARCEFF_SOUND_ANON,"Anonymous:","Anonymní:","Anonym:","Anonimowy:","Неизвестный:","Anonyme :","Anónimo:","Anonimo:"
STR_DISP_ARCEFF_VOICE,"Voice:","Hlas:","Stimme:","Głos:","Голос:","Voix :","Voz:","Voce:"
STR_DISP_ARCEFF_SOUND_ENV,"Environment:","Prostředí:","Umgebung:","Otoczenie:","Окружение:","Environnement :","Ambiente:","Ambiente:"
STR_DISP_ARCEFF_SOUND_DET,"Trigger:","Senzor:","Auslöser:","Wyzwalacz:","Триггер:","Déclencheur :","Activador:","Attivatore:"
STR_DISP_ARCEFF_TRACK,"Track:","Stopa:","Spur:","Ścieżka:","Трек:","Morceau :","Pista:","Traccia:"
STR_DISP_ARCEFF_TITTYPE,"Type:","Typ:","Typ:","Typ:","Тип:","Type :","Tipo:","Tipo:"
STR_DISP_ARCEFF_TITEFF,"Effect:","Efekt:","Effekt:","Efekt:","Эффект:","Effet :","Efecto:","Effetto:"
STR_DISP_ARCEFF_TITTEXT,"Text:","Text:","Text:","Tekst:","Текст:","Texte :","Texto:","Testo:"
STR_DISP_ARCEFF_EVERYBODY,"Everybody","Kdokoli","Jeder","Wszyscy","Все","Tous","Todos","Tutti"
STR_DISP_ARCEFF_PLAYERONLY,"Player only","Pouze hráč","Nur Spieler","Tylko gracz","Только игрок","Joueur seul","Sólo el jugador","Solo giocatore"
STR_DISP_ARCSENS_TITLE,"Edit trigger","Upravit senzor","Auslöser bearbeiten","Edycja wyzwalacza","Редактировать триггер","Modif. déclencheur","Editar activador","Modifica attivatore"
STR_DISP_ARCSENS_A,"Axis a","Hlavní poloosa","Achse A","Oś a","Ось х","Axe a","Eje a","Asse a"
STR_DISP_ARCSENS_B,"Axis b","Vedlejší poloosa","Achse B","Oś b","Ось y","Axe b","Eje b","Asse b"
